NAME,the_geom,URL,LINE
W 4th St - Washington Sq (Lower),POINT (-74.00030814706824 40.73225482650675),http://www.mta.info/nyct/subway/index.html,B-D-F-M
Buhre Ave,POINT (-73.83256899924748 40.846810332614844),http://www.mta.info/nyct/subway/index.html,6-6 Express
51st St,POINT (-73.97192000013308 40.757107333148234),http://www.mta.info/nyct/subway/index.html,4-6-6 Express
86th St,POINT (-73.97621799811347 40.78864433404891),http://www.mta.info/nyct/subway/index.html,1-2
Brooklyn Bridge - City Hall,POINT (-74.00413100111697 40.713065332984044),http://www.mta.info/nyct/subway/index.html,4-5-6-6 Express
33rd St,POINT (-73.98207600124924 40.7460813321576),http://www.mta.info/nyct/subway/index.html,4-6-6 Express
Lexington Ave - 59th St,POINT (-73.96796700066442 40.76252633389173),http://www.mta.info/nyct/subway/index.html,4-5-6-6 Express
233rd St,POINT (-73.85736239433544 40.89314357506239),http://www.mta.info/nyct/subway/index.html,2-5
66th St - Lincoln Ctr,POINT (-73.98220900041213 40.773440334231445),http://www.mta.info/nyct/subway/index.html,1-2
Hunts Point Ave,POINT (-73.89054899975386 40.82094833186627),http://www.mta.info/nyct/subway/index.html,6-6 Express
Canal St,POINT (-74.00627700023756 40.722854331339036),http://www.mta.info/nyct/subway/index.html,1-2
Middletown Rd,POINT (-73.83632199732654 40.843863334673635),http://www.mta.info/nyct/subway/index.html,6-6 Express
23rd St,POINT (-73.98659900183978 40.7398643335507),http://www.mta.info/nyct/subway/index.html,4-6-6 Express
45th Rd - Court House Sq,POINT (-73.94526400065335 40.747023331863446),http://www.mta.info/nyct/subway/index.html,7-7 Express
Astor Pl,POINT (-73.99106999895504 40.73005433376933),http://www.mta.info/nyct/subway/index.html,4-6-6 Express
59th St - Columbus Circle,POINT (-73.98192900168259 40.76824733393756),http://www.mta.info/nyct/subway/index.html,1-2
Hunters Point Ave,POINT (-73.9489160011607 40.74221633326165),http://www.mta.info/nyct/subway/index.html,7-7 Express
96th St,POINT (-73.95107000070685 40.785672333485294),http://www.mta.info/nyct/subway/index.html,4-6-6 Express
Mets - Willets Point,POINT (-73.84562499786716 40.75462233245772),http://www.mta.info/nyct/subway/index.html,7-7 Express
23rd St,POINT (-73.99565700196479 40.74408133288406),http://www.mta.info/nyct/subway/index.html,1-2
Houston St,POINT (-74.00536700184291 40.72825133360782),http://www.mta.info/nyct/subway/index.html,1-2
3rd Ave - 138th St,POINT (-73.92613800022275 40.81047633454132),http://www.mta.info/nyct/subway/index.html,6-6 Express
Zerega Ave,POINT (-73.84703599804547 40.83648833366287),http://www.mta.info/nyct/subway/index.html,6-6 Express
104th St,POINT (-73.8376829999374 40.681711334202696),http://www.mta.info/nyct/subway/index.html,A-S
Bleecker St (Downtown),POINT (-73.99467467829572 40.72593123822929),http://www.mta.info/nyct/subway/index.html,4-6-6 Express
Castle Hill Ave,POINT (-73.85122199920897 40.83425533183211),http://www.mta.info/nyct/subway/index.html,6-6 Express
Broad Channel,POINT (-73.81583268677743 40.608402513981986),http://www.mta.info/nyct/subway/index.html,A-S
Ocean Pkwy,POINT (-73.9685010000048 40.5763120005781),http://www.mta.info/nyct/subway/index.html,Q
50th St,POINT (-73.98384899991842 40.76172833308103),http://www.mta.info/nyct/subway/index.html,1-2
Vernon Blvd - Jackson Ave,POINT (-73.95358099882006 40.74262633257131),http://www.mta.info/nyct/subway/index.html,7-7 Express
68th St - Hunter College,POINT (-73.96387000148661 40.768141333903976),http://www.mta.info/nyct/subway/index.html,4-6-6 Express
Queensboro Plz,POINT (-73.94016353439743 40.75063598438094),http://www.mta.info/nyct/subway/index.html,7-7 Express-N-W
Rockaway Blvd,POINT (-73.8438529971175 40.68042933335036),http://www.mta.info/nyct/subway/index.html,A-S
Union Sq - 14th St,POINT (-73.98995099886989 40.734673334561),http://www.mta.info/nyct/subway/index.html,4-5-6-6 Express
Junction Blvd,POINT (-73.8695269997965 40.74914533273112),http://www.mta.info/nyct/subway/index.html,7-7 Express
Classon Ave,POINT (-73.95999000126959 40.68888933367643),http://www.mta.info/nyct/subway/index.html,G
Bedford - Nostrand Aves,POINT (-73.95352199987617 40.68962733491343),http://www.mta.info/nyct/subway/index.html,G
15th St - Prospect Park,POINT (-73.979735806077 40.660036021685464),http://www.mta.info/nyct/subway/index.html,F-G
7th Ave,POINT (-73.9802511788693 40.666245023690635),http://www.mta.info/nyct/subway/index.html,F-G
Ft Hamilton Pkwy,POINT (-73.97577599885992 40.65078200098824),http://www.mta.info/nyct/subway/index.html,F-G
Church Ave,POINT (-73.97972116167199 40.64427233346608),http://www.mta.info/nyct/subway/index.html,F-G
Beverly Rd,POINT (-73.9643577954928 40.64390493165595),http://www.mta.info/nyct/subway/index.html,B-Q
Church Ave,POINT (-73.96288246144869 40.6504935798757),http://www.mta.info/nyct/subway/index.html,B-Q
Newkirk Ave,POINT (-73.96269486847974 40.63514227039474),http://www.mta.info/nyct/subway/index.html,B-Q
Parkside Ave,POINT (-73.96145344000783 40.65507337471708),http://www.mta.info/nyct/subway/index.html,B-Q
Prospect Park,POINT (-73.96203130451713 40.66163378817137),http://www.mta.info/nyct/subway/index.html,B-Q-S
Grand Army Plaza,POINT (-73.97095633144298 40.67529502884244),http://www.mta.info/nyct/subway/index.html,2-3-4
Bergen St,POINT (-73.97499915098913 40.68086247045291),http://www.mta.info/nyct/subway/index.html,2-3-4
Atlantic Ave,POINT (-73.97754993550333 40.68442049853399),http://www.mta.info/nyct/subway/index.html,2-3-4-5
Rockaway Ave,POINT (-73.91194599727318 40.67834033324111),http://www.mta.info/nyct/subway/index.html,A-C
Fulton St,POINT (-73.97537499873913 40.687119332657794),http://www.mta.info/nyct/subway/index.html,G
Clinton - Washington Aves,POINT (-73.96679599830863 40.688094334588634),http://www.mta.info/nyct/subway/index.html,G
7th Ave,POINT (-73.97285279146314 40.677102512887046),http://www.mta.info/nyct/subway/index.html,B-Q
Atlantic Ave,POINT (-73.97678343931106 40.68448865643635),http://www.mta.info/nyct/subway/index.html,B-Q
Union St,POINT (-73.98310999931782 40.67731600045995),http://www.mta.info/nyct/subway/index.html,D-N-R
Atlantic Av - Pacific St,POINT (-73.9788099993486 40.68366600047985),http://www.mta.info/nyct/subway/index.html,D-N-R
Borough Hall,POINT (-73.99015100058315 40.69240433310098),http://www.mta.info/nyct/subway/index.html,4-5
Aqueduct Racetrack (To Manh Only),POINT (-73.83591899879411 40.672097332305505),http://www.mta.info/nyct/subway/index.html,A
DeKalb Ave,POINT (-73.98182400036215 40.69063500033928),http://www.mta.info/nyct/subway/index.html,B-D-N-Q-R
Morris Park,POINT (-73.86049499998204 40.85436433270016),http://www.mta.info/nyct/subway/index.html,5
Pelham Pkwy,POINT (-73.85535900005993 40.8589853329393),http://www.mta.info/nyct/subway/index.html,5
Nostrand Ave,POINT (-73.95042600048545 40.68043833310734),http://www.mta.info/nyct/subway/index.html,A-C
Nevins St,POINT (-73.98040679867199 40.68831091310594),http://www.mta.info/nyct/subway/index.html,2-3-4-5
Eastern Pkwy - Bklyn Museum,POINT (-73.96422203701749 40.672032568925616),http://www.mta.info/nyct/subway/index.html,2-3-4
Franklin Ave,POINT (-73.95809973659013 40.67076548645792),http://www.mta.info/nyct/subway/index.html,2-3-4-5
Beverly Rd,POINT (-73.94884798335576 40.64512385265653),http://www.mta.info/nyct/subway/index.html,2-5
Church Ave,POINT (-73.94945514032199 40.65086102070915),http://www.mta.info/nyct/subway/index.html,2-5
Newkirk Ave,POINT (-73.9482999075323 40.63999157603046),http://www.mta.info/nyct/subway/index.html,2-5
Brooklyn College - Flatbush Ave,POINT (-73.94754120719483 40.63284274046751),http://www.mta.info/nyct/subway/index.html,2-5
Winthrop St,POINT (-73.9500793454169 40.65665964750449),http://www.mta.info/nyct/subway/index.html,2-5
Sterling St,POINT (-73.95072891150406 40.66277332699014),http://www.mta.info/nyct/subway/index.html,2-5
Crown Hts - Utica Ave,POINT (-73.93293256066349 40.66897864436661),http://www.mta.info/nyct/subway/index.html,3-4
Kingston Ave,POINT (-73.94215978326203 40.66948178160432),http://www.mta.info/nyct/subway/index.html,3-4
Kingston - Throop Aves,POINT (-73.94085899839129 40.67991933291405),http://www.mta.info/nyct/subway/index.html,A-C
Nassau Ave,POINT (-73.95118299979704 40.72448033118355),http://www.mta.info/nyct/subway/index.html,G
Greenpoint Ave,POINT (-73.95442500175076 40.73126733272315),http://www.mta.info/nyct/subway/index.html,G
Marcy Ave,POINT (-73.95783199999856 40.7083833336101),http://www.mta.info/nyct/subway/index.html,J-M-Z
Hewes St,POINT (-73.95348800040841 40.706890331217984),http://www.mta.info/nyct/subway/index.html,J-M
Essex St,POINT (-73.98740940233358 40.718306389085505),http://www.mta.info/nyct/subway/index.html,J-M-Z
138th St - Grand Concourse,POINT (-73.9298489994812 40.81322433279863),http://www.mta.info/nyct/subway/index.html,4-5
5th Ave - 53rd St,POINT (-73.9752485046603 40.76008716596106),http://www.mta.info/nyct/subway/index.html,E-M
Lexington Ave - 53rd St,POINT (-73.96907237417739 40.75746864157252),http://www.mta.info/nyct/subway/index.html,E-M
28th St,POINT (-73.98869800066268 40.74545433330924),http://www.mta.info/nyct/subway/index.html,N-R
Herald Sq - 34th St,POINT (-73.98793683324304 40.749644893078916),http://www.mta.info/nyct/subway/index.html,N-Q-R
1st Ave,POINT (-73.98168087509058 40.730975308760705),http://www.mta.info/nyct/subway/index.html,L
Grand Central - 42nd St,POINT (-73.97918900000734 40.75276900017257),http://www.mta.info/nyct/subway/index.html,S
Times Sq - 42nd St,POINT (-73.9862289999369 40.755983333482924),http://www.mta.info/nyct/subway/index.html,S
42nd St - Bryant Pk,POINT (-73.984590998399 40.75418433462967),http://www.mta.info/nyct/subway/index.html,B-D-F-M
Times Sq - 42nd St,POINT (-73.986768002027 40.754612332230856),http://www.mta.info/nyct/subway/index.html,N-Q-R
Metropolitan Ave,POINT (-73.95142399956148 40.71277433427003),http://www.mta.info/nyct/subway/index.html,G
Grand St,POINT (-73.94049699898235 40.711576333817),http://www.mta.info/nyct/subway/index.html,L
Graham Ave,POINT (-73.9439439978816 40.71457633149971),http://www.mta.info/nyct/subway/index.html,L
Lorimer St,POINT (-73.95024800019331 40.7140723341722),http://www.mta.info/nyct/subway/index.html,L
Bedford Ave,POINT (-73.95666499837023 40.71717433231373),http://www.mta.info/nyct/subway/index.html,L
Broadway,POINT (-73.95031225595987 40.70612690984066),http://www.mta.info/nyct/subway/index.html,G
Lorimer St,POINT (-73.94735499813589 40.70384433379361),http://www.mta.info/nyct/subway/index.html,J-M
Montrose Ave,POINT (-73.93979284651334 40.70739139725247),http://www.mta.info/nyct/subway/index.html,L
23rd St - Ely Av,POINT (-73.94605470270504 40.74776845479483),http://www.mta.info/nyct/subway/index.html,E-M
Long Island City - Court Sq,POINT (-73.94381559557159 40.74630536706204),http://www.mta.info/nyct/subway/index.html,G
21st St,POINT (-73.94959999937976 40.74412900001313),http://www.mta.info/nyct/subway/index.html,G
39th Ave,POINT (-73.9328513760691 40.752763394559445),http://www.mta.info/nyct/subway/index.html,N-Q
36th Ave,POINT (-73.92986199833236 40.75644233343755),http://www.mta.info/nyct/subway/index.html,N-Q
145th St,POINT (-73.95035999809508 40.82655133277471),http://www.mta.info/nyct/subway/index.html,1
157th St,POINT (-73.94488999874277 40.83404133354386),http://www.mta.info/nyct/subway/index.html,1
96th St,POINT (-73.97232299948297 40.79391933441861),http://www.mta.info/nyct/subway/index.html,1-2-3
103rd St,POINT (-73.96837899924829 40.79944633394733),http://www.mta.info/nyct/subway/index.html,1
Central Park North (110th St),POINT (-73.95182200107378 40.79907533284112),http://www.mta.info/nyct/subway/index.html,2-3
103rd St,POINT (-73.96137008216188 40.79606107356255),http://www.mta.info/nyct/subway/index.html,A-B-C
Cathedral Pkwy (110th St),POINT (-73.95806670664349 40.80058189158562),http://www.mta.info/nyct/subway/index.html,A-B-C
